dialect,split,rows,task
BAR,test,491,normalization
BAR,test_ood,608,normalization
BAR,train,3135,normalization
BAR,validation,333,normalization
CHI,test,1879,normalization
CHI,test_ood,2096,normalization
CHI,train,14564,normalization
CHI,validation,1706,normalization
KHU,test,101,normalization
KHU,train,817,normalization
KHU,validation,89,normalization
MYM,test,375,normalization
MYM,test_ood,1384,normalization
MYM,train,2148,normalization
MYM,validation,250,normalization
NAR,test,101,normalization
NAR,train,1067,normalization
NAR,validation,101,normalization
NOA,test,373,normalization
NOA,test_ood,1400,normalization
NOA,train,2149,normalization
NOA,validation,249,normalization
RAJ,test_ood,1387,normalization
RAN,test,127,normalization
RAN,train,1264,normalization
RAN,validation,159,normalization
SYL,test,1586,normalization
SYL,test_ood,2104,normalization
SYL,train,14478,normalization
SYL,validation,1402,normalization
BAR,test,587,identification
BAR,test_external,65,identification
BAR,test_ood,495,identification
BAR,train,4018,identification
BAR,validation,413,identification
CHI,test,2205,identification
CHI,test_external,162,identification
CHI,test_ood,1654,identification
CHI,train,16886,identification
CHI,validation,1991,identification
KHU,test,95,identification
KHU,train,668,identification
KHU,validation,86,identification
KIS,test,793,identification
KIS,test_external,159,identification
KIS,train,7953,identification
KIS,validation,797,identification
MYM,test,448,identification
MYM,test_ood,701,identification
MYM,train,2171,identification
MYM,validation,302,identification
NAR,test,850,identification
NAR,test_external,162,identification
NAR,train,8009,identification
NAR,validation,865,identification
NOA,test,387,identification
NOA,test_ood,786,identification
NOA,train,1783,identification
NOA,validation,260,identification
NSD,test,538,identification
NSD,test_external,108,identification
NSD,train,5300,identification
NSD,validation,576,identification
RAJ,test,88,identification
RAJ,test_ood,717,identification
RAJ,train,705,identification
RAJ,validation,91,identification
RAN,test,698,identification
RAN,test_external,108,identification
RAN,train,6481,identification
RAN,validation,680,identification
STD,test,2452,identification
STD,test_ood,1172,identification
STD,train,18768,identification
STD,validation,2251,identification
SYL,test,1617,identification
SYL,test_external,283,identification
SYL,test_ood,1278,identification
SYL,train,15134,identification
SYL,validation,1407,identification
TAN,test,506,identification
TAN,test_external,104,identification
TAN,train,5021,identification
TAN,validation,519,identification
